task,model,metric,value
classification_zero_shot,ResNet18,gli_val_auc,1.000
classification_zero_shot,ResNet18,ssa_auc,0.653
classification_zero_shot,ResNet18,ssa_bal_acc,0.500
classification_zero_shot,EfficientNet-B0,gli_val_auc,0.982
classification_zero_shot,EfficientNet-B0,ssa_auc,0.641
classification_zero_shot,EfficientNet-B0,ssa_bal_acc,0.499
classification_zero_shot,ViT-Small,gli_val_auc,1.000
classification_zero_shot,ViT-Small,ssa_auc,0.642
classification_zero_shot,ViT-Small,ssa_bal_acc,0.597
segmentation_ssa_adaptation,UNet,mean_dsc_wt_tc,0.7330
segmentation_ssa_adaptation,Att-UNet,mean_dsc_wt_tc,0.7314
segmentation_ssa_adaptation,TransUNet,mean_dsc_wt_tc,0.8142
segmentation_ssa_adaptation,Swin-UNETR,mean_dsc_wt_tc,0.8411
classification_xai_gradcam,ResNet18,overlap,0.101
classification_xai_gradcam,ResNet18,faithfulness,-0.000
classification_xai_gradcam,ResNet18,pointing_game,0.030
classification_xai_gradcam,EfficientNet-B0,overlap,0.196
classification_xai_gradcam,EfficientNet-B0,faithfulness,0.002
classification_xai_gradcam,EfficientNet-B0,pointing_game,0.244
classification_xai_gradcam,ViT-Small,overlap,0.536
classification_xai_gradcam,ViT-Small,faithfulness,0.242
classification_xai_gradcam,ViT-Small,pointing_game,0.655
